Network,School ID,School,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12,Total
AUSL,610339,Amos Alonzo Stagg Elementary School,15,20,46,53,64,92,50,49,57,47,65,0,0,0,0,558
AUSL,610106,Brian Piccolo Elementary Specialty School,20,32,66,56,70,57,46,37,56,45,46,0,0,0,0,531
AUSL,609883,Charles S Deneen Elementary School,20,29,62,73,64,83,57,61,50,61,59,0,0,0,0,619
AUSL,610248,Chicago Academy Elementary School,33,47,56,55,56,60,60,60,62,61,62,0,0,0,0,612
AUSL,610340,Chicago Academy High School,0,0,0,0,0,0,0,0,0,0,0,146,139,125,116,526
AUSL,610499,Collins Academy High School,0,0,0,0,0,0,0,0,0,0,0,146,105,103,65,419
AUSL,609885,Dewey Elementary Academy of Fine Arts,29,51,52,36,36,41,22,24,33,19,22,0,0,0,0,365
AUSL,610254,Dvorak Technology Academy,37,35,36,44,45,63,41,49,50,38,34,0,0,0,0,472
AUSL,610543,Eric Solorio Academy High School,0,0,0,0,0,0,0,0,0,0,0,323,271,258,231,"1,083"
AUSL,609900,George W Curtis Elementary School,11,18,70,72,70,92,59,62,64,59,70,0,0,0,0,647
AUSL,610103,Isabelle C O'Keeffe Elementary School,27,40,73,96,71,79,68,65,56,37,64,0,0,0,0,676
AUSL,610274,James Weldon Johnson Elementary School,27,33,38,35,40,39,40,30,36,32,46,0,0,0,0,396
AUSL,610263,John Foster Dulles Elementary School,25,49,95,88,98,98,47,82,78,46,72,0,0,0,0,778
AUSL,609971,John Harvard Elementary School of Excellence,17,17,43,52,56,60,41,31,60,42,49,0,0,0,0,468
AUSL,610000,Julia Ward Howe Elementary School of Excellence,18,22,55,62,65,73,58,51,60,58,65,0,0,0,0,587
AUSL,610036,Leslie Lewis Elementary School,12,29,60,48,47,49,46,51,59,61,49,0,0,0,0,511
AUSL,610053,Marquette Elementary School,38,69,129,147,132,136,123,152,129,103,116,0,0,0,0,"1,274"
AUSL,609888,Mary Mapes Dodge Elementary Renaissance Academy,5,20,11,12,13,24,16,13,33,21,24,0,0,0,0,192
AUSL,609928,Melville W Fuller Elementary School,7,18,39,33,46,48,41,38,48,36,29,0,0,0,0,383
AUSL,610257,Morton School of Excellence,11,23,36,44,50,54,41,47,31,28,39,0,0,0,0,404
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES,11,22,73,92,95,99,72,63,96,47,66,0,0,0,0,736
AUSL,610231,National Teachers Elementary Academy,9,22,83,83,75,59,57,61,60,61,56,0,0,0,0,626
AUSL,610389,Orr Academy High School,0,0,0,0,0,0,0,0,0,0,0,136,124,97,101,458
AUSL,610021,Pablo Casals Elementary School,14,24,61,46,45,61,49,50,52,40,55,0,0,0,0,497
AUSL,610282,Ronald E McNair Elementary School,6,26,40,36,51,49,34,34,40,33,36,0,0,0,0,385
AUSL,610396,Tarkington School of Excellence ES,13,27,88,116,112,118,89,118,130,97,126,0,0,0,0,"1,034"
AUSL,609991,Theodore Herzl Elementary School,50,93,67,55,55,53,36,47,52,34,47,0,0,0,0,589
AUSL,609851,Thomas Chalmers Specialty Elementary School,22,18,43,42,43,37,23,22,48,28,39,0,0,0,0,365
AUSL,609955,Walter Q Gresham Elementary School,14,20,36,37,42,42,36,33,34,35,30,0,0,0,0,359
AUSL,609727,Wendell Phillips Academy High School,0,0,0,0,0,0,0,0,0,0,0,186,144,157,127,614
AUSL,610172,William T Sherman Elementary School,11,18,39,37,32,51,37,26,36,32,41,0,0,0,0,360
AUSL,609844,William W Carter Elementary School,11,27,42,49,47,58,51,40,53,29,39,0,0,0,0,446
Service Leadership Academies,610513,Air Force Academy High School,0,0,0,0,0,0,0,0,0,0,0,107,79,89,98,373
Service Leadership Academies,609754,Chicago Military Academy High School,0,0,0,0,0,0,0,0,0,0,0,131,87,117,60,395
Service Leadership Academies,609760,George Washington Carver Military Academy HS,0,0,0,0,0,0,0,0,0,0,0,143,130,124,107,504
Service Leadership Academies,610390,Hyman G Rickover Naval Academy High School,0,0,0,0,0,0,0,0,0,0,0,199,116,143,95,553
Service Leadership Academies,609780,Marine Leadership Academy at Ames,0,0,0,0,0,0,0,0,0,175,218,145,98,71,53,760
Service Leadership Academies,610304,Phoenix Military Academy High School,0,0,0,0,0,0,0,0,0,0,0,149,145,114,93,501
Network 1,610212,Albany Park Multicultural Academy,0,0,0,0,0,0,0,0,0,136,133,0,0,0,0,269
Network 1,610209,Alessandro Volta Elementary School,34,45,103,118,90,129,100,95,109,84,97,0,0,0,0,"1,004"
Network 1,609836,Arthur E Canty Elementary School,14,25,83,99,80,82,95,77,99,70,75,0,0,0,0,799
Network 1,609729,Carl Schurz High School,0,0,0,0,0,0,0,0,0,0,0,600,669,534,499,"2,302"
Network 1,609899,Christian Ebinger Elementary School,0,0,94,92,99,72,84,84,72,55,59,0,0,0,0,711
Network 1,610083,Daniel C Beard Elementary School,29,38,17,21,23,21,0,0,0,0,0,0,0,0,0,149
Network 1,610564,Disney II Magnet High School,0,0,0,0,0,0,0,0,0,106,106,149,132,0,0,493
Network 1,610515,Disney II Magnet School,22,36,50,51,51,51,52,51,56,0,0,0,0,0,0,420
Network 1,609901,Edgebrook Elementary School,0,0,53,58,57,57,57,61,63,54,51,0,0,0,0,511
Network 1,610523,Edison Park Elementary School,3,12,62,66,54,68,50,64,56,34,24,0,0,0,0,493
Network 1,609708,Edwin G Foreman High School,0,0,0,0,0,0,0,0,0,0,0,369,332,302,273,"1,276"
Network 1,610137,Ernst Prussing Elementary School,15,25,77,77,88,75,65,63,72,74,69,0,0,0,0,700
Network 1,609874,Everett McKinley Dirksen Elementary School,28,32,108,100,112,93,67,92,76,71,63,0,0,0,0,842
Network 1,610163,Frederick Stock Elementary School,116,132,0,0,0,0,0,0,0,0,0,0,0,0,0,248
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,0,0,0,0,0,0,0,0,0,0,0,417,412,427,431,"1,687"
Network 1,609857,Grover Cleveland Elementary School,29,46,71,77,76,68,71,54,55,67,45,0,0,0,0,659
Network 1,610182,Hannah G Solomon Elementary School,18,30,29,37,32,28,33,35,44,35,37,0,0,0,0,358
Network 1,609972,Helge A Haugan Elementary School,60,108,159,154,151,148,142,154,78,0,0,0,0,0,0,"1,154"
Network 1,609798,Hiram H Belding Elementary School,30,46,76,71,79,72,60,54,32,46,51,0,0,0,0,617
Network 1,609766,Jacqueline B Vaughn Occupational High School,0,0,0,0,0,0,0,0,0,0,0,23,27,43,108,201
Network 1,609912,James B Farnsworth Elementary School,25,47,57,60,64,57,61,52,61,47,55,0,0,0,0,586
Network 1,609796,Jean Baptiste Beaubien Elementary School,15,25,105,129,140,126,130,137,112,120,107,0,0,0,0,"1,146"
Network 1,610089,John B Murphy Elementary School,30,46,48,73,73,55,55,49,66,34,56,0,0,0,0,585
Network 1,610111,John Palmer Elementary School,26,53,75,87,121,101,89,87,86,85,80,0,0,0,0,890
Network 1,609937,John W Garvy Elementary School,0,0,74,87,91,84,96,98,90,90,74,0,0,0,0,784
Network 1,610159,Jonathan Y Scammon Elementary School,13,27,98,92,101,98,91,119,82,116,114,0,0,0,0,951
Network 1,610127,Mary Gage Peterson Elementary School,16,23,93,95,100,99,89,93,83,106,91,0,0,0,0,888
Network 1,609792,Newton Bateman Elementary School,48,67,97,94,117,110,92,102,110,87,87,0,0,0,0,"1,011"
Network 1,609810,Norman A Bridge Elementary School,45,70,120,142,116,114,103,108,97,85,78,0,0,0,0,"1,078"
Network 1,610354,North River Elementary School,21,39,37,41,31,26,31,38,34,30,33,0,0,0,0,361
Network 1,609749,Northside College Preparatory High School,0,0,0,0,0,0,0,0,0,0,0,252,278,257,263,"1,050"
Network 1,609744,Northside Learning Center High School,0,0,0,0,0,0,0,0,0,0,0,25,64,34,147,270
Network 1,610099,Norwood Park Elementary School,11,29,48,53,53,28,25,49,30,25,30,0,0,0,0,381
Network 1,610201,Ole A Thorp Elementary Scholastic Academy,0,0,87,87,87,87,98,98,97,100,98,0,0,0,0,839
Network 1,610105,Oriole Park Elementary School,34,45,69,80,73,55,74,72,63,66,58,0,0,0,0,689
Network 1,609988,Patrick Henry Elementary School,30,45,77,103,96,86,75,77,70,0,0,0,0,0,0,659
Network 1,610145,Peter A Reinberg Elementary School,31,52,79,87,83,91,75,100,81,86,87,0,0,0,0,852
Network 1,610135,Portage Park Elementary School,35,58,99,107,105,137,109,83,100,107,89,0,0,0,0,"1,029"
Network 1,609995,Rufus M Hitch Elementary School,19,20,55,66,57,60,53,54,67,45,65,0,0,0,0,561
Network 1,610155,Sauganash Elementary School,0,0,70,76,67,59,61,50,71,61,59,0,0,0,0,574
Network 1,609728,Theodore Roosevelt High School,0,0,0,0,0,0,0,0,0,0,0,325,467,289,276,"1,357"
